Destination URL,Sample Time Duration (s),Latency Sum (s),Number of Hops,Address 1,Latency (s),Address 2,Latency (s),Address 3,Latency (s),Address 4,Latency (s),Address 5,Latency (s),Address 6,Latency (s),Address 7,Latency (s),Address 8,Latency (s),Address 9,Latency (s),Address 10,Latency (s),Address 11,Latency (s),Address 12,Latency (s),Address 13,Latency (s),Address 14,Latency (s),Address 15,Latency (s),Address 16,Latency (s),Address 17,Latency (s),Address 18,Latency (s),Address 19,Latency (s),Address 20,Latency (s),Address 21,Latency (s),Address 22,Latency (s),Address 23,Latency (s),Address 24,Latency (s),Address 25,Latency (s),Address 26,Latency (s),Address 27,Latency (s),Address 28,Latency (s),Address 29,Latency (s),Address 30,Latency (s)
facebook.com,38.93335176,87.33333333,8,192.168.165.35 (192.168.165.35),1.666666667,128.198.192.3 (128.198.192.3),8.666666667,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),8,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),18,206.53.175.50 (206.53.175.50),10.33333333,po102.psw01.den4.tfbnw.net (157.240.46.155),11.33333333,173.252.67.3 (173.252.67.3),13.33333333,edge-star-mini-shv-01-den4.facebook.com (157.240.28.35),16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
youtube.com,40.4950254,90.33333333,9,192.168.165.35 (192.168.165.35),2,128.198.192.2 (128.198.192.2),8,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),7.666666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),13.33333333,core-910-ptr.frgp.net (192.43.217.170),12.66666667,72.14.194.239 (72.14.194.239),12.66666667,108.170.254.65 (108.170.254.65),10.66666667,172.253.75.177 (172.253.75.177),8.333333333,den16s08-in-f14.1e100.net (142.250.72.46),15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
google.com,40.77186942,136.3333333,9,192.168.165.35 (192.168.165.35),1.666666667,128.198.192.2 (128.198.192.2),17.66666667,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),19.33333333,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),10.33333333,core-910-ptr.frgp.net (192.43.217.170),9.333333333,72.14.194.239 (72.14.194.239),8.333333333,108.170.254.81 (108.170.254.81),18.66666667,142.251.51.155 (142.251.51.155),31.66666667,den16s09-in-f14.1e100.net (142.250.72.78),19.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
twitter.com,39.26042533,178,10,192.168.165.35 (192.168.165.35),3.333333333,128.198.192.3 (128.198.192.3),11.33333333,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),7.333333333,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),13,core-910-ptr.frgp.net (192.43.217.170),16,den-b1-link.ip.twelve99.net (62.115.63.78),7,sjo-b23-link.ip.twelve99.net (213.155.133.171),45,twitter-ic322868-sjo-b21.ip.twelve99-cust.net (62.115.49.193),37.66666667,104.244.42.129 (104.244.42.129),37.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wordpress.com,19.93694425,54,7,192.168.165.35 (192.168.165.35),3.666666667,128.198.192.3 (128.198.192.3),6,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),11.33333333,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),8.666666667,core-910-ptr.frgp.net (192.43.217.170),8.666666667,206.51.46.81.any2ix.coresite.com (206.51.46.81),7.666666667,192.0.78.17 (192.0.78.17),8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gmail.com,41.06884718,108.6666667,9,192.168.165.35 (192.168.165.35),1.333333333,128.198.192.3 (128.198.192.3),8,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),6.666666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),8.333333333,core-910-ptr.frgp.net (192.43.217.170),8.333333333,72.14.194.239 (72.14.194.239),8.333333333,108.170.252.209 (108.170.252.209),13.66666667,142.251.61.183 (142.251.61.183),28.33333333,den08s05-in-f5.1e100.net (142.250.69.229),25.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tripadvisor.com,20.22660017,172.6666667,7,192.168.165.35 (192.168.165.35),1.666666667,128.198.192.2 (128.198.192.2),7.666666667,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),10,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),12.33333333,core-910-ptr.frgp.net (192.43.217.170),10,den-b1-link.ip.twelve99.net (62.115.63.78),8.666666667,192.229.182.112 (192.229.182.112),122.3333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yahoo.com,61.10442734,195.6666667,11,192.168.165.35 (192.168.165.35),10.66666667,128.198.192.3 (128.198.192.3),11,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),14.66666667,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),9.666666667,206.53.175.18 (206.53.175.18),9,ae-0.pat1.nez.yahoo.com (209.191.64.220),22,et-0-0-0.msr2.ne1.yahoo.com (216.115.105.179),21.66666667,et-19-1-0.clr2-a-gdc.ne1.yahoo.com (98.138.97.75),19,lo0.fab2-2-gdc.ne1.yahoo.com (98.138.51.1),35.33333333,usw1-1-lbd.ne1.yahoo.com (98.138.97.156),21.66666667,media-router-fp74.prod.media.vip.ne1.yahoo.com (74.6.231.21),21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apple.com,15.33249903,92.66666667,7,192.168.165.35 (192.168.165.35),1.333333333,128.198.192.2 (128.198.192.2),7,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),7,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),19.66666667,core-910-ptr.frgp.net (192.43.217.170),21.33333333,206.51.46.20.any2ix.coresite.com (206.51.46.20),20,apple.com.tt (17.253.144.10),16.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glassdoor.com,32.90893483,51.66666667,6,192.168.165.35 (192.168.165.35),1.333333333,128.198.192.3 (128.198.192.3),12.33333333,epcpa0-cohpa0-server-zone-floating.uccs.edu (128.198.253.174),6.333333333,uccs-bison-south-commodity-at-frgp.uccs.edu (128.198.254.2),9.333333333,206.53.175.20 (206.53.175.20),13.33333333,104.17.91.51 (104.17.91.51),9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
